Rules;2012-02-29 11:13,,,,,,,
FileItem nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFolderItem(EasyUser, Dataset, DmoStoreId);[NoSecurityOfficer implements no security],,,,,
FileItem nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFolderItemByPath(EasyUser, Dataset, String);[NoSecurityOfficer implements no security],,,,,
URL nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFileContentURL(EasyUser, Dataset, FileItem);([SessionUser has role ARCHIVIST or ADMIN] OR [Content stream of FileItem is marked as freely available content]),,,,,
URL nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getDescriptiveMetadataURL(EasyUser, Dataset, DmoStoreId);([Dataset state is PUBLISHED] OR ([SessionUser is depositor of dataset] AND [Dataset state is DRAFT or SUBMITTED or MAINTENANCE]) OR [SessionUser has role ADMIN or ARCHIVIST]),,,,,
FileContentWrapper nl.knaw.dans.easy.business.item.DownloadWorkDispatcher.prepareFileContent(EasyUser, Dataset, DmoStoreId);(([Dataset state is PUBLISHED] AND [Dataset is not under embargo at current date]) OR ([SessionUser has role ARCHIVIST or ADMIN] OR [SessionUser is depositor of dataset])),,,,,
ZipFileContentWrapper nl.knaw.dans.easy.business.item.DownloadWorkDispatcher.prepareZippedContent(EasyUser, Dataset, Collection);(([Dataset state is PUBLISHED] AND [Dataset is not under embargo at current date]) OR ([SessionUser has role ARCHIVIST or ADMIN] OR [SessionUser is depositor of dataset])),,,,,
DataModelObject nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.getDataModelObject(EasyUser, DmoStoreId);([Dataset state is PUBLISHED] OR ([SessionUser is depositor of dataset] AND [Dataset state is DRAFT or SUBMITTED or MAINTENANCE]) OR [SessionUser has role ADMIN or ARCHIVIST]),,,,,,
byte[] nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.getObjectXml(EasyUser, Dataset);([SessionUser is depositor of dataset] OR [SessionUser has role ARCHIVIST or ADMIN]),,,,,,
Dataset nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.cloneDataset(EasyUser, Dataset);[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.saveEasyMetadata(EasyUser, Dataset, WorkListener[]);([SessionUser has role ARCHIVIST] OR ([Dataset state is DRAFT] AND [SessionUser is depositor of dataset])),,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.saveAdministrativeMetadata(EasyUser, Dataset, WorkListener[]);[SessionUser has role ARCHIVIST or ADMIN],,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.submitDataset(EasyUser, Dataset, DatasetSubmission, WorkListener[]);([SessionUser is depositor of dataset] AND [Dataset state is DRAFT]),,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.unsubmitDataset(EasyUser, Dataset, boolean);([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED]),,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.publishDataset(EasyUser, Dataset, boolean, boolean);Split answer: ComponentVisisble <== ([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED]) EnableAllowed <== ([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED] AND [Required steps of workflow are completed]),,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.unpublishDataset(EasyUser, Dataset, boolean);([SessionUser has role ARCHIVIST] AND [Dataset state is PUBLISHED]),,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.maintainDataset(EasyUser, Dataset, boolean);([SessionUser has role ARCHIVIST] AND [Dataset state is PUBLISHED]),,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.republishDataset(EasyUser, Dataset, boolean, boolean);([SessionUser has role ARCHIVIST] AND [Dataset state is MAINTENANCE] AND [Required steps of workflow are completed]),,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.changeDepositor(EasyUser, Dataset, EasyUser, boolean, boolean);[SessionUser has role ARCHIVIST],,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.deleteDataset(EasyUser, Dataset);(([SessionUser is depositor of dataset] AND [Dataset state is DRAFT]) OR ([SessionUser has role ARCHIVIST] AND [Dataset state is DRAFT or SUBMITTED or PUBLISHED or MAINTENANCE])),,,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.restoreDataset(EasyUser, Dataset);[SessionUser has role ADMIN],,,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.purgeDataset(EasyUser, Dataset, WorkListener[]);([SessionUser has role ADMIN] AND [Dataset state is DELETED]),,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.savePermissionRequest(EasyUser, Dataset, PermissionRequestModel, WorkListener[]);[SessionUser has role USER or ARCHIVIST or ADMIN],,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.savePermissionReply(EasyUser, Dataset, PermissionReplyModel, WorkListener[]);[SessionUser is depositor of dataset],,,,
DownloadHistory nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.getDownloadHistoryFor(EasyUser, Dataset, DateTime);[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,
URL nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.getUnitMetadataURL(EasyUser, Dataset, UnitMetadata);[SessionUser has role ARCHIVIST or ADMIN],,,,,
void nl.knaw.dans.easy.business.dataset.DatasetWorkDispatcher.deleteAdditionalLicense(EasyUser,,,,,,,
void nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.saveJumpoffDmo(EasyUser, JumpoffDmo, DataModelObject);[SessionUser has role ARCHIVIST or ADMIN],,,,,
void nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.deleteJumpoff(EasyUser, JumpoffDmo, DataModelObject, String);[SessionUser has role ARCHIVIST or ADMIN],,,,
void nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.deleteUnit(EasyUser, DmoStoreId, DsUnitId, String);[SessionUser has role ARCHIVIST or ADMIN],,,,
void nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.toggleEditorMode(EasyUser, JumpoffDmo);[SessionUser has role ARCHIVIST or ADMIN],,,,,,
List nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.retrieveUnitMetadata(EasyUser, DmoStoreId, DsUnitId);[storeId is within namespace dans-jumpoff],,,,,
URL nl.knaw.dans.easy.business.jumpoff.JumpoffWorkDispatcher.retrieveURL(DmoStoreId, DsUnitId);[storeId is within namespace dans-jumpoff],,,,,,
EasyUser nl.knaw.dans.easy.business.services.EasyUserService.getUserById(EasyUser, String);[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,
